orig_index,Nom de l'objet,Programme,Adresse 1,Adresse 2,Adresse 3,Numéro postal,Localité,Canton - Département,Pays,Date de début de l'objet,Date de fin de l'objet,Concours ouvert à,Notes de l'objet,Auteurs,Rôle de l'auteur,Dossiers reliés,Pièces reliées,CombinedArtists,is_jury,paired_competitons,comp_id
392,"Concours pour la Banque cantonale, Fribourg, jugement",,,,,,Fribourg,,Suisse,1959-01-01,,,Pas d'extrait du rapport du jury ni de date de délibération ou de nombre de projets remis dans le BTSR,"Dumas, Pierre;Surchat &;Dubey &;Waeber, Marcel;Baechler, Otto;Hefti, Beda;Colliard, Marcel","5e prix;3e prix;3e prix;Invité, non primé;1er  prix;Ingénieur;Juré",,,"[array(['Dumas, Pierre'], dtype=object)
 array(['Surchat', 'Dubey', 'Waeber, Marcel'], dtype=object)
 array(['Baechler, Otto'], dtype=object)
 array(['Hefti, Beda'], dtype=object)
 array(['Colliard, Marcel'], dtype=object)]",True,[391],392
393,"Concours d'idées pour l'aménagement des quais, à Bienne",Urbanisme,,,,,Bienne,,Suisse,1960-01-01,,,,"Schlup, Max",,0085.01.0014,,"[array(['Schlup, Max'], dtype=object)]",False,[],393
394,"Concours d'idées pour l'Exposition nationale à Lausanne en 1964, jugement",,,,,,Lausanne,,Suisse,1960-01-01,,,"Voir BTSR 1960 p.19 et 40 (la Direction de l'Expo tenait à disposition une liste des lauréats) ni de dates de délibérations.166 projets remis dans les délais par 150 concurrents. 48 projets retenus pour des achats (total 60'000.-) soit 7 achats 2'000.-, 10 achats 1'500.-, 31 achats 1'000.-",,,,,,True,[2023],394
395,"Concours pour l'aménagement d'un centre paroissial et scolaire à Planta-d'En-Bas, Sion",,,,,,Sion,,Suisse,1960-01-01,,,"Concours d'idées ouvert par la Municipalité entre les arcitectes valaisans ou domiciliés dans le caton depuis le 1.1.1959. Extraits du règlement et du programme BTSR 1961 p. 202. Pas de date d'ouverture ni de rendu. Marc Lovay prend-il part aux délibérations? Sont consultés au titre d'experts (leur nom n'apparaît pas dans le BTSR): les curés de Sion, la soeur directrice de l'Ecole supérieure de commerce des jeunes filles, l'architecte cantonal, les présidents des commissions des finances et dédilité, le chef du Service de police","Bayard;Mudry, Paul;Iten, Joseph;Matthey, Marcel;Cingria, Albert;Jaccottet, Claude;Adam, Nestor;Lovay, Marc;Bonvin, Roger","Juré;Juré;Juré, suppléant;Juré;3e prix;Juré;Expert;Juré, suppléant;Juré, président",,,"[array(['Bayard'], dtype=object) array(['Mudry, Paul'], dtype=object)
 array(['Iten, Joseph'], dtype=object)
 array(['Matthey, Marcel'], dtype=object)
 array(['Cingria, Albert'], dtype=object)
 array(['Jaccottet, Claude'], dtype=object)
 array(['Adam, Nestor'], dtype=object)
 array(['Lovay, Marc'], dtype=object)
 array(['Bonvin, Roger'], dtype=object)]",False,[1182],395
396,Concours pour l'aménagement du quartier de Chamblandes,,"Général-Guisan, avenue","C.-F. Ramuz, avenue",,,Pully,,Vaud,1960-01-01,1960-01-01,A. national,Concours d'idées ouvert par la commune entre les architectes reconnus par l'Etat ou suisses et domiciliés en Suisse. Extrait du règlement BTSR 1960 p.209,"Vaney, Marcel;Virieux, Edmond;Okolski, Eugène d';Von der Mühll, Henri Robert;Bonnard, Pierre;Jaton, Maurice;Besson, Charles;Vallotton, Paul 2;Tschumi, Jean","Juré;3e rang;Juré;Juré, suppléant;4e prix;Juré, président;Juré;Juré, vice-président;Architecte",,,"[array(['Vaney, Marcel'], dtype=object)
 array(['Virieux, Edmond'], dtype=object)
 array([""Okolski, Eugène d'""], dtype=object)
 array(['Von der Mühll, Henri Robert'], dtype=object)
 array(['Bonnard, Pierre'], dtype=object)
 array(['Jaton, Maurice'], dtype=object)
 array(['Besson, Charles'], dtype=object)
 array(['Vallotton, Paul 2'], dtype=object)
 array(['Tschumi, Jean'], dtype=object)]",False,[1546],396
397,Concours pour l'Autoroute Genève-Lausanne: pont sur la Venoge et la RC n° 76,,,,,,Ecublens,,Suisse,1960-01-01,1960-01-01,Par appel,Concours par appel ouvert par le DTP vaudois. Pas d'indication de composition du jury ni de date d'ouverture ou de rendu. Pas d'extrait de rapport du jury ni de date de délibération ou de nombre de projets remis et de montant des prix dans le BTSR,"Bauty, J;Curchod, Robert;Perret-Gentil, André, coll.;Dériaz, P, coll.;Giovanola, Frères SA;Blondin, M +;Lambert, René-H +;Pasche, B +;Lefaure +;Bisenz, Pierre;Bernoux, Pierre;Jaquet, Albert",Non primé;2e rang;2e rang;3e rang;3e prix;4e rang;4e rang;4e rang;4e rang;2e rang;1er rang;6e prix,,,"[array(['Bauty, J'], dtype=object)
 array(['Curchod, Robert'], dtype=object)
 array(['Perret-Gentil, André, coll.'], dtype=object)
 array(['Dériaz, P, coll.'], dtype=object)
 array(['Giovanola, Frères SA'], dtype=object)
 array(['Blondin, M', 'Lambert, René-H', 'Pasche, B', 'Lefaure',
        'Bisenz, Pierre'], dtype=object)
 array(['Bernoux, Pierre'], dtype=object)
 array(['Jaquet, Albert'], dtype=object)]",False,[],397
398,Concours pour le nouveau bâtiment du Gymnase cantonal,,"Vaucher, ruelle","Hôpital, faubourg de l'",,,Neuchâtel,,Suisse,1960-01-01,,A. cantonal,Ouvert par l'Etat entre les architectes inscrits au registre neuchâtelois. Extrait du règlement-programme p.417 et 422,"Wyss, Albert Ed;Clottu, Gaston;Brechbühl, Otto;Kleiber, Charles;Cingria, Albert;Pauli, L;Schumacher, W;Leuba, P.-A","Juré;Juré;Juré;1er  prix;3e prix;Juré, suppléant;Juré, suppléant;Juré, président",,,"[array(['Wyss, Albert Ed'], dtype=object)
 array(['Clottu, Gaston'], dtype=object)
 array(['Brechbühl, Otto'], dtype=object)
 array(['Kleiber, Charles'], dtype=object)
 array(['Cingria, Albert'], dtype=object)
 array(['Pauli, L'], dtype=object) array(['Schumacher, W'], dtype=object)
 array(['Leuba, P.-A'], dtype=object)]",False,[1421],398
399,"Concours pour le nouveau bâtiment du Gymnase cantonal, Neuchâtel",Enseignement et recherche,,,,,Neuchâtel,,Suisse,1960-01-01,,,"Le projet André Gaillard remporte le 2e prix.;Devise ""Unité"";Publié dans BTSR n°26, 1960, pp.  417-423;;Pas de dossier dans les archives.",,,,,,False,[],399
400,"Concours pour le nouveau Centre d'études de Trevano, Locarno",,,,,,Locarno,,Suisse,1960-01-01,,,Pas de date de délibération du jury ni d'extrait de son rapport ou d'indication du nombre de projets remis dans le BTSR.  1er prix 8'500.-  2e prix 5'500.-  3e prix 5'000.-  4e prix 3'000.-  5e prix 2'000.-,"Brosi, Richard +;Foltron, Louis +;Scherer, Hans U +;Piazzoli, Aldo +;Kasper, Max;Antonini, Giuseppe;Piazzoli, Ugo +;Famos, Nicolas +",2e prix;2e prix;3e prix;3e prix;4e prix;1er  prix;1er  prix;6e prix,,,"[array(['Brosi, Richard', 'Foltron, Louis', 'Scherer, Hans U',
        'Piazzoli, Aldo', 'Kasper, Max'], dtype=object)
 array(['Antonini, Giuseppe'], dtype=object)
 array(['Piazzoli, Ugo, Famos, Nicolas'], dtype=object)]",False,[],400
401,"Concours pour le nouveau Centre d'études de Trevano, Locarno",,,,,,Locarno,,Suisse,1960-01-01,,,"Pas d'indication de date d'ouverture ou de rendu ni de composition du jury ou de conditions de participation (peut-être un concours national), chercher dans Rivista tecnica",,,,,,False,[],401
402,"Concours pour un casernement sur la place d'armes du Génie, à Bremgarten (Argovie), jugement",,,,,,Bremgarten,,Suisse,1960-01-01,,,"Pas d'extrait du rapport du jury ni de dates de délibérations dans le BTSR, chercher dans SBZ. Cent trente-cinq projets remis.  Dorer/Steger et Dieterle/Grau reçoivent le 6e prix, s'agit-il de deux équipes ex aequo ou travaillent-ils ensemble? 1er prix 6'000.-  2e prix 5'500.-  3e prix 5'000.-  4e prix 4'000.-  5e prix 3'000.-  6e prix 2'500.-  7e prix 2'000.-  1er achat 1'500.-  2e achat 1'500.-  3e achat 1'250.-  4e achat 1'250.-  5e achat 1'250.-  6e achat 1'250.- Description de l'objet réalisé voir BTSR 1968 p.184  artcile signé Claude Grosgurin (auteurs R. et E. Guyer, M. Pauli)","Bridel, Philippe;Elmer, H;Perriard, Louis +;Gautschi, Walter +;Zünd, Heinrich, coll.;Waldvogel, Ed, coll.;Pfister, frère 2 &;Pfister, frère 1 &;Widmer, Sigmund +;Gisel, Karl +;Walder, René +;Schneiter, Anton +;Bresch, Christof +;Grau, H, coll.;Dorer, P +;Steger, P +;Dieterle, M +;Volland, August, coll.;Guyer, Rudolf +;Guyer, Esther +;Pauli, Manuel, coll.;Gaschen, Marcel +;Francesconi, Werner +;Furrer, Ed +;Schindler, Werner +;Glaus, Otto +;Buhofer, Max +;Allemann, Bert +;Benteli, Rudolf +;Reist, Daniel +;Bräm, Heinrich;Weber, Martin +;Hess, Heinz +;Leemann, Hansrudolf +",5e prix;3e prix;2e prix;2e prix;7e prix;7e prix;7e prix;7e prix;4e prix;4e prix;5e prix;5e prix;5e prix;6e prix;6e prix;6e prix;6e prix;1er  prix;4e prix;4e prix;1er  prix;2e achat;2e achat;3e achat;3e achat;4e achat;4e achat;4e achat;5e achat;5e achat;6e achat;1er achat;1er achat;1er achat,,,"[array(['Bridel, Philippe'], dtype=object)
 array(['Elmer, H'], dtype=object)
 array(['Perriard, Louis', 'Gautschi, Walter', 'Zünd, Heinrich, coll.'],
       dtype=object)
 array(['Waldvogel, Ed, coll.'], dtype=object)
 array(['Pfister, frère 2', 'Pfister, frère 1', 'Widmer, Sigmund',
        'Gisel, Karl', 'Walder, René', 'Schneiter, Anton',
        'Bresch, Christof', 'Grau, H, coll.'], dtype=object)
 array(['Dorer, P', 'Steger, P', 'Dieterle, M', 'Volland, August, coll.'],
       dtype=object)
 array(['Guyer, Rudolf', 'Guyer, Esther', 'Pauli, Manuel, coll.'],
       dtype=object)
 array(['Gaschen, Marcel', 'Francesconi, Werner', 'Furrer, Ed',
        'Schindler, Werner', 'Glaus, Otto', 'Buhofer, Max',
        'Allemann, Bert', 'Benteli, Rudolf', 'Reist, Daniel',
        'Bräm, Heinrich'], dtype=object)
 array(['Weber, Martin, Hess, Heinz, Leemann, Hansrudolf'], dtype=object)]",True,[1126],402
403,"Concours pour un groupe scolaire aux Charmettes, Neuchâtel",,,,,,Neuchâtel,,Suisse,1960-01-01,,A. cantonal,Ouvert par la commune représentée par la Direction du service des bâtiments entre les architectes neuchâtelois ou suisses établis dans la commune avant le 1.1. 1960. Extrait du règlement BTSR 1960 p.42 et du programme p.37 . Evard et Walvogel prennent-ils part aux délibérations?,"Waltenspühl, Paul;Lozeron, Arthur;Martin, F 2;Humbert-Droz, F;Favre, Jacques;Waldvogel, Theodor;Evard, N;Kleiber, Charles","Juré;Mention spéciale;Juré;Juré;Juré;Juré, suppléant;Juré, suppléant;1er  prix",,,"[array(['Waltenspühl, Paul'], dtype=object)
 array(['Lozeron, Arthur'], dtype=object)
 array(['Martin, F 2'], dtype=object)
 array(['Humbert-Droz, F'], dtype=object)
 array(['Favre, Jacques'], dtype=object)
 array(['Waldvogel, Theodor'], dtype=object)
 array(['Evard, N'], dtype=object)
 array(['Kleiber, Charles'], dtype=object)]",False,[1642],403
404,"Concours pour un immeuble pour l'Organisation mondiale de la Santé/OMS, à Genève",,,,,,Genève,,Suisse,1960-01-01,1960-01-01,,"Ouvert par l'Organisation mondiale de la Santé/OMS entre quinze  architectes ou associations d'architectes choisis par l'OMS sur l'avis d'un groupe d'experts-architectes. Extraits du règlement et du programme BTSR 1960 p.377. André Vierne remplace Jean Dutoit lorsque ce dernier est absent. De même Pierre Dorolle remplacera M. G. Candau lors d'une séance. Ahlberg, Beaudoin et Cingria ne participent apparemment pas aux délibérations","Aujaleu, E;Markelius, Sven Gottfried;Ponti, Gio;Dutoit, Jean;Robertson, Howard;Beaudouin, Eugène Elie;Ahlberg, Hakon;Cingria, Albert;Vierne, André;Dorolle, Pierre;Candau, M. G;Vago, Pierre","Juré;Juré;Juré;Voix consultative;Juré;Juré;Suppléant;3e prix;Collaborateur;Remplaçant;Juré, président;Juré, rapporteur",,,"[array(['Aujaleu, E'], dtype=object)
 array(['Markelius, Sven Gottfried'], dtype=object)
 array(['Ponti, Gio'], dtype=object) array(['Dutoit, Jean'], dtype=object)
 array(['Robertson, Howard'], dtype=object)
 array(['Beaudouin, Eugène Elie'], dtype=object)
 array(['Ahlberg, Hakon'], dtype=object)
 array(['Cingria, Albert'], dtype=object)
 array(['Vierne, André'], dtype=object)
 array(['Dorolle, Pierre'], dtype=object)
 array(['Candau, M. G'], dtype=object)
 array(['Vago, Pierre'], dtype=object)]",False,[1830],404
405,Concours pour un plan de quartier aux Eplatures à La Chaux-de-Fonds,,,,,,La Chaux-de-Fonds,,Suisse,1960-01-01,1960-01-01,A. cantonal,"Ouvert par le Conseil communal. Pas de date d'ouverture ou de rendu dans le BTSR ni de composition du jury à l'exception de E. Martin, pas d'indication de conditions de participation (probalement architectes neuchâtelois)","Martin, Ernest",Juré,,,"[array(['Martin, Ernest'], dtype=object)]",False,[1799],405
406,Concours pour une étude d'aménagement à Tunis,,,,,,Tunis,,,1960-01-01,1960-01-01,International,Pas d'indication dans le BTSR,,,,,,False,[1806],406
407,Concours pour une ferme de colonisation type à Bevaix,,,,,,Bevaix,,Suisse,1960-01-01,1960-01-01,Invitation,"Concours ouvert entre six architectes. Pas de date d'ouverture ni de rendu, pas d'indication du maître de l'ouvrage ni d'extrait de programme ou de règlement dans le BTSR","Vital, N;Calame, Edmond;Du Pasquier, J.-J;Billeter, Madame;Barrelet, J.-L;Rosselet, R;Jeanneret, A;Merminod, Pierre;Cailler, Maurice",Juré;3e prix;Juré;Juré;Juré;Juré;Juré;Juré;Juré,,,"[array(['Vital, N'], dtype=object) array(['Calame, Edmond'], dtype=object)
 array(['Du Pasquier, J.-J'], dtype=object)
 array(['Billeter, Madame'], dtype=object)
 array(['Barrelet, J.-L'], dtype=object)
 array(['Rosselet, R'], dtype=object)
 array(['Jeanneret, A'], dtype=object)
 array(['Merminod, Pierre'], dtype=object)
 array(['Cailler, Maurice'], dtype=object)]",False,[1228],407
408,"Concours pour une Maison des congrès, à Locarno, jugement",,,,,,Locarno,,Suisse,1960-01-01,,,"Pas d'indication des résultats dans le BTSR, chercher dans Rivista technica",,,,,,True,[1798],408
409,Concours (1er degré)pour une salle de manifestations et un théâtre à Neuchâtel,,"Lac, Faubourg du","Premier Mars, avenue du",,,Neuchâtel,Neuchâtel,Suisse,1961-01-01,1962-02-01,A. national,"Ouvert par le PALMA, Syndicat d'initiative pour la construction d'un Palais des manifestations entre les architectes neuchâtelois, ou suisses inscrits au REG. Extraits du règlement et du programme BTSR p.229 et 244. Pas d'indication BTSR des dates d'ouverture ou de rendu","Christ, Rudolf;Mayor, Philippe;Calame, Edmond;Porchat, Jean-Pierre;Lozeron, Arthur;Gisel, Ernst;Martin, Fernand;Schaeffer, Henri;Cingria, Albert;Junier, Claude;Apothéloz, Charles;Briod, Robert;Waldvogel, Theodor;Roulet, Eddy","Juré;Juré;3e prix;Juré;Mention spéciale;Achat 1'000.-;Juré, président;Juré;3e prix;Expert;Expert;Secrétaire;Juré, suppléant;Juré, suppléant",,,"[array(['Christ, Rudolf'], dtype=object)
 array(['Mayor, Philippe'], dtype=object)
 array(['Calame, Edmond'], dtype=object)
 array(['Porchat, Jean-Pierre'], dtype=object)
 array(['Lozeron, Arthur'], dtype=object)
 array(['Gisel, Ernst'], dtype=object)
 array(['Martin, Fernand'], dtype=object)
 array(['Schaeffer, Henri'], dtype=object)
 array(['Cingria, Albert'], dtype=object)
 array(['Junier, Claude'], dtype=object)
 array(['Apothéloz, Charles'], dtype=object)
 array(['Briod, Robert'], dtype=object)
 array(['Waldvogel, Theodor'], dtype=object)
 array(['Roulet, Eddy'], dtype=object)]",False,[1406],409
410,Concours d'idée pour l'aménagement des terrains de la S.I. Monteiron à Préverenges,Aménagement,,,,,Préverenges,,Suisse,1961-01-01,,,Concours d'idée sur sélection,"Sartoris, Alberto",,0172.04.0237,,"[array(['Sartoris, Alberto'], dtype=object)]",False,[],410
411,"Concours pour l'aménagement de la rive de Saint-Blaise, à Neuchâtel",,,,,,Saint-Blaise,,Suisse,1961-01-01,1961-01-01,,Pas d'indication de date d'ouverture ou de rendu ni de conditions de participation dans le BTSR,"Bosset, Jean-Pierre de;Meystre, Robert-A;Meier, Eric;Richter, Yann;Engel, René","Juré, suppléant;3e prix;Juré;Juré;Juré, président",,,"[array(['Bosset, Jean-Pierre de'], dtype=object)
 array(['Meystre, Robert-A'], dtype=object)
 array(['Meier, Eric'], dtype=object)
 array(['Richter, Yann'], dtype=object)
 array(['Engel, René'], dtype=object)]",False,[412],411
412,"Concours pour l'aménagement de la rive de Saint-Blaise, à Neuchâtel, jugement",,,,,,Saint-Blaise,,Suisse,1961-01-01,1962-02-10,,"Pas d'extrait de rapport du jury, ni d'indication du nombre de projets remis.  1er prix 1'300.-  2e prix 1'000.-  3e prix 400.-  Un achat 300.-","Mazzoni, Florian;Hartenbach, Judith;Walter, Jean-Louis;Vautravers, Emile, coll.;Debrot, Pierre-André +;Rollier, Claude +",Achat;2e prix;3e prix;1er  prix;3e prix;3e prix,,,"[array(['Mazzoni, Florian'], dtype=object)
 array(['Hartenbach, Judith'], dtype=object)
 array(['Walter, Jean-Louis'], dtype=object)
 array(['Vautravers, Emile, coll.'], dtype=object)
 array(['Debrot, Pierre-André, Rollier, Claude'], dtype=object)]",True,[411],412
413,Concours pour l'aménagement du quartier du Verger,,,,,,Le Locle,,Suisse,1961-01-01,1961-01-01,,"Ouvert par la ville. Pas d'indication de composition du jury, de date d'ouverture ou de rendu ni de conditions de participation",,,,,,False,[1465],413
414,"Concours pour le Centre paroissial de Saint-Matthieu, à Lausanne",,"Pierrefleur, chemin de",,,,Lausanne,,Vaud,1961-01-01,1961-08-01,Invitation,Ouvert par l'Association du temple de Saint-Matthieu entre six architectes invités. Extrait du règlement et du programme BTSR 1961 p.370,"Zindel, Octave;Maillard, Marcel;Waltenspühl, Paul;Hirzel, Eugène;Zwahlen, Jean;Porret, Etienne;Richard, Pierre;Jaccottet, Claude;Tschumi, Jean",Juré;Juré;Juré;Juré;Juré;Juré;Juré;Juré;Architecte,,,"[array(['Zindel, Octave'], dtype=object)
 array(['Maillard, Marcel'], dtype=object)
 array(['Waltenspühl, Paul'], dtype=object)
 array(['Hirzel, Eugène'], dtype=object)
 array(['Zwahlen, Jean'], dtype=object)
 array(['Porret, Etienne'], dtype=object)
 array(['Richard, Pierre'], dtype=object)
 array(['Jaccottet, Claude'], dtype=object)
 array(['Tschumi, Jean'], dtype=object)]",False,[2005],414
415,"Concours pour le temple de Saint-Jacques et des locaux scolaires, En Chissiez, Lausanne",,"Léman, avenue du",,,,Lausanne,,Vaud,1961-01-01,1962-01-01,,Ouvert par l'Association du temple de Saint-Jacques et la Municipalité entre les architectes protestants vaudois ou suisses domiciliés dans le canton depuis un an au moins. Extraits du règlement et du programme BTSR 1962 p.197 et 212. René Suter et une autre personne de la société SAGEPCO sont les représentants du propriétaire. Tous les suppléants assistent aux délibérations et tous les experts sont consultés,"Derron, Maurice H;Bonjour, J. L;Amann, Théophile;Baur, Hermann;Lavanchy, Jean L;Porret, Etienne;Keller, René;Favre, Jacques;Suter, René;Jaccottet, Georges;Pahud, René;Desarzens, André;Waldvogel, Theodor;Aubert, Paul 2;Dupuis, Etienne;Berthoud, André","Juré;Juré;Juré;Juré;Juré;Juré;3e prix;Juré;Consultant;Juré, président;Expert, voix cons.;Juré;Juré, suppléant;Juré;Suppléant,voix cons.;Juré, secrétaire",,,"[array(['Derron, Maurice H'], dtype=object)
 array(['Bonjour, J. L'], dtype=object)
 array(['Amann, Théophile'], dtype=object)
 array(['Baur, Hermann'], dtype=object)
 array(['Lavanchy, Jean L'], dtype=object)
 array(['Porret, Etienne'], dtype=object)
 array(['Keller, René'], dtype=object)
 array(['Favre, Jacques'], dtype=object)
 array(['Suter, René'], dtype=object)
 array(['Jaccottet, Georges'], dtype=object)
 array(['Pahud, René'], dtype=object)
 array(['Desarzens, André'], dtype=object)
 array(['Waldvogel, Theodor'], dtype=object)
 array(['Aubert, Paul 2'], dtype=object)
 array(['Dupuis, Etienne'], dtype=object)
 array(['Berthoud, André'], dtype=object)]",False,[919],415
416,Concours pour un groupe scolaire et une salle de gymnastique à Guin (Fribourg),,,,,,Düdingen/Guin,,Suisse,1961-01-01,1962-01-01,A. cantonal,Ouvert par la commune entre les architectes fribourgeois ou suisses établis dans le canton depuis un an au moins. Extrait du règlement-programme BTSR 1962 p.165. Pas d'indication de date d'ouverture ou de rendu,"Aeby, Roger;Fries, Victor;Schuwey, Oscar;Colliard, Marcel;Vouga, Jean-Pierre;Vesin, Charles;Jendly, Arthur","Juré;Juré;Juré;Juré;Juré;Juré, suppléant;Juré, suppléant",,,"[array(['Aeby, Roger'], dtype=object)
 array(['Fries, Victor'], dtype=object)
 array(['Schuwey, Oscar'], dtype=object)
 array(['Colliard, Marcel'], dtype=object)
 array(['Vouga, Jean-Pierre'], dtype=object)
 array(['Vesin, Charles'], dtype=object)
 array(['Jendly, Arthur'], dtype=object)]",False,[1572],416
417,"Concours pour une maison communale et école à Pregassona, Tessin",,,,,,Pregassona,,Suisse,1961-01-01,1962-01-01,,"Pas d'indication de MO (probablement commune), de date d'ouverture ou de rendu ni de composition du jury, chercher dans Rivista tecnica",,,,,,False,[427],417
418,"Concours pour une nouvelle école de chimie et de pharmacie à Genève, jugement",,,,,,Genève,,Suisse,1961-01-01,,,"Pas d'extrait de rapport du jury, ni d'indication des dates de délibération ou du nombre de projets remis dans le BTSR. Le jury ne recommande aucun projet pour l'exécution et propose de confier un mandat d'étude complémentaire aux auteurs des projets ayant obtenu les deux premiers prix","Cailler, Maurice +;Décoppet, J. J, coll.;Merminod, Pierre +;Billaud, Charles &;Billaud, Eric &;Billaud, André &;Baud-Bovy, Manuel +;Iten, Nadine +;Rey, Michel +;Hildebrand, Jacques +;Michel, Gérard +;Mauris, Gérard +;Tschudin, Raymond;Brera, Georges",Indemnité 800.-;3e prix;3e prix;3e prix;3e prix;3e prix;4e prix;4e prix;4e prix;5e prix;5e prix;5e prix;Indemnité 500.-;,,,"[array(['Cailler, Maurice', 'Décoppet, J. J, coll.'], dtype=object)
 array(['Merminod, Pierre', 'Billaud, Charles', 'Billaud, Eric',
        'Billaud, André', 'Baud-Bovy, Manuel', 'Iten, Nadine',
        'Rey, Michel', 'Hildebrand, Jacques', 'Michel, Gérard',
        'Mauris, Gérard', 'Tschudin, Raymond'], dtype=object)
 array(['Brera, Georges'], dtype=object)]",True,[1097],418
419,Concours Ecole normale de Porrentruy,Enseignement et recherche,,,,,Porrentruy,,Jura,1962-01-01,,,,"Brunner, H",Expert,0148.04.0653,,"[array(['Brunner, H'], dtype=object)]",False,[],419
420,Concours gare de Zurich,Urbanisme,,,,,Zurich,,Zurich,1962-01-01,,,"Ce projet de concours a reçu le n°39 et sa devise est ""Arc-de-triomphe"".;Projet touchant l'emplacement de la gare de Zurich et les deux rives de la Sihl, qui propose un quartier d'immeubles constitués de modules cubiques superposés.;Objet connu uniquement par des photographies.;;Daté 1962 par la plaquette du bureau Gaillard. Aurait remporté le 3e prix.","Gaillard, André",Architecte,,,"[array(['Gaillard, André'], dtype=object)]",False,[],420
421,Concours pour un groupe scolaire à Pully,,,,,,Pully,,Vaud,1962-01-01,,,Pas d'indication BTSR de date d'ouverture ou de rendu ni de conditions de participation (architectes du canton?),"Maillard, Marcel;Grandchamp, Jean-Louis;Lavanchy, Jean L;Décoppet, Alin;Raccoursier, Claude;Jaton, Maurice;Girardet, Daniel","Juré;Juré;Juré;Juré;Juré, absent;Juré, président;Juré",,,"[array(['Maillard, Marcel'], dtype=object)
 array(['Grandchamp, Jean-Louis'], dtype=object)
 array(['Lavanchy, Jean L'], dtype=object)
 array(['Décoppet, Alin'], dtype=object)
 array(['Raccoursier, Claude'], dtype=object)
 array(['Jaton, Maurice'], dtype=object)
 array(['Girardet, Daniel'], dtype=object)]",False,[422],421
422,"Concours pour un groupe scolaire à Pully, jugement",,,,,,Pully,,Vaud,1962-01-01,1962-01-01,,Pas d'extrait de rapport du jury ni d'indication des dates de délibération ou des montants des primes dans le BTSR.  1er prix 4'500.-  2e prix 3'000.-  3e prix 2'800.-  4e prix 2'500.-  5e prix 2'200.-,"Jenny, Jean-Marc;Schäublin, Raymond, coll.;Jaunin, Georges;Favre, Michel;Guidetti, Raymond;Rolf, Ernst, coll.;Okolski, Eugène d';Collomb, Henri",4e prix;4e prix;3e prix;4e prix;5e prix;1er  prix;Juré;3e prix,,,"[array(['Jenny, Jean-Marc'], dtype=object)
 array(['Schäublin, Raymond, coll.'], dtype=object)
 array(['Jaunin, Georges'], dtype=object)
 array(['Favre, Michel'], dtype=object)
 array(['Guidetti, Raymond'], dtype=object)
 array(['Rolf, Ernst, coll.'], dtype=object)
 array([""Okolski, Eugène d'""], dtype=object)
 array(['Collomb, Henri'], dtype=object)]",True,[421],422
423,Concours pour un groupe scolaire secondaire à Orbe,,Chantemerle,,,,Orbe,,Vaud,1962-01-01,1962-09-01,A. cantonal,Ouvert par la Municipalité entre les architectes vaudois ou domiciliés ou établis dans le canton depuis un an ou les architectes employés remplissant les critères mentionnés si leur employeur ne participe pas et s'il les y autorise expressément. Pas de date d'ouverture ou de rendu dans le BTSR. Extraits du règlement et du programme BTSR 1963 p.13,"Veuve, Léopold;Giroud, Jean-Louis;Baur, Hermann;Läng, Paul;Nicole, Daniel 2;Porret, Etienne;Brugger, Frédéric","Juré;Juré;Juré;Juré;Juré;Juré;Juré, suppléant",,,"[array(['Veuve, Léopold'], dtype=object)
 array(['Giroud, Jean-Louis'], dtype=object)
 array(['Baur, Hermann'], dtype=object)
 array(['Läng, Paul'], dtype=object)
 array(['Nicole, Daniel 2'], dtype=object)
 array(['Porret, Etienne'], dtype=object)
 array(['Brugger, Frédéric'], dtype=object)]",False,[972],423
424,"Concours pour un ensemble paroissial et communal à Hérémence, Valais, jugement",,,,,,Hérémence,,Suisse,1962-01-01,,,"Pas d'extrait de rapport du jury dans le BTSR ni d'indication des dates de délibération, du nombre de projets remis ou des montants des primes. Förderer (qui construira l'église) et Huber font probablement partie des architectes invités","Ellenberger, Jean-Marie;Förderer, Walter;Morisod, Paul &;Kyburz, Jean &;Huber, Thomas;Zufferey, Robert +;Zufferey, Hans +;Iten, Jean;Girardet, Daniel +;Lorenz, Paul +",Achat;1er  prix;3e prix;1er  prix;4e prix;2e prix;2e prix;6e prix;1er  prix;1er  prix,,,"[array(['Ellenberger, Jean-Marie'], dtype=object)
 array(['Förderer, Walter'], dtype=object)
 array(['Morisod, Paul', 'Kyburz, Jean', 'Huber, Thomas'], dtype=object)
 array(['Zufferey, Robert', 'Zufferey, Hans', 'Iten, Jean'], dtype=object)
 array(['Girardet, Daniel, Lorenz, Paul'], dtype=object)]",True,[1451],424
425,"Concours pour un gymnase, à Bienne",Enseignement et recherche,,,,,Bienne,,,1962-01-01,,,,"Bueche, Etienne",,0148.04.0119,,"[array(['Bueche, Etienne'], dtype=object)]",False,[],425
